Chromosome	Start	Stop	Strand	Gene Symbol	AKO5	AKO6	AKO7	AKO8	Ako_Lx1	Ako_Lx2	Ako_Lx3	WT6	wt_Lx1	WT7	WT5	Ako_Lx4	wt_Lx3	WT8	wt_Lx2	wt_Lx4
2	76675315	76697336	+	Plekha3	305	288	268	315	393	450	325	269	492	263	263	385	543	224	310	424
7	45526330	45554230	+	Plekha4	17	22	22	25	92	72	77	29	113	10	33	88	145	17	85	99
6	140424099	140594907	+	Plekha5	271	272	190	271	204	330	274	165	263	139	139	253	359	278	299	332
1	133246097	133303436	+	Plekha6	1520	1444	1012	1427	1874.98	1936.01	1951	1211	2085.01	1069	947.009	2000	1723.99	1408.02	2221.02	2486.95
7	116123485	116308377	-	Plekha7	75	54	34	52	317	370	258	22	793.999	47	20	442	1035	30	424	953
6	54595111	54645823	+	Plekha8	172	142	170	147	187	197	225	131	227	158	115	200	259.999	148	190	241.001
7	100643896	100662395	-	Plekhb1	50	27	43	62	45	39	47	19	53	35	50	44	54	30	60	72
1	34849959	34879586	+	Plekhb2	1889.03	1963.02	1866.02	1861.03	2155	2032.02	1926.03	1637.98	1919.02	1604.02	1395.99	2003.03	1951.02	1891.03	2033.01	2020.99
7	38220654	38227995	-	Plekhf1	298	241	265	326	143	181	197	134	161	145	128	208	232	243	165	256
4	10988662	11007620	-	Plekhf2	136	135	143	122	126	180	185	142	219	133	164	186	311	128	246	213
10	3740377	3967303	+	Plekhg1	187	151	142	203	221	227	240	149	174	148	167	242	255	149	182	187
7	28359604	28372663	-	Plekhg2	268	288	210	275	368.001	450	372.999	189	534.998	216	173	415	830	309	346.001	471.001
12	76533560	76579040	+	Plekhg3	198	239	178	235	237	330	305	188	506	159	145	323	650	195	325	512
4	152086863	152115405	+	Plekhg5	311	307	232	350	274	317.001	358.001	263	450	222	211	425.001	514.999	327.001	327.001	490.001
12	79029163	79081656	+	Plekhh1	51.4755	43.0407	41.4024	52.6868	9.87695	11.2535	43.3905	36.2471	21.0977	35.3098	33.6671	54.2617	12.4495	29.5191	55.3982	27.8939
17	84511895	84622143	+	Plekhh2	63	68	65	63	92	114	102	86	134	70	106	108	147	109	114	164
11	101162680	101171373	-	Plekhh3	325	288	217	251	295	283	422	312	462	283	285	303	396.001	419.001	388	441
10	80796099	80798627	-	Plekhj1	183	205	206	223	193	223	221	189	276	194	176	202	452	246	261	271
11	103364275	103412706	-	Plekhm1	305	301	237	310	330	383	303	268	444	222	233	343	584	335	343	383
4	141625735	141664147	-	Plekhm2	1579.01	1734	1168.99	1591	1612.01	1519.01	1619.01	950	1500.01	949.994	898.999	1629	1510.01	1352	1529.99	1391.98
1	64789121	64956825	-	Plekhm3	138	147	108	153	201	199	195	153	274	138	117	233	422	172	223	251
3	95988836	95995840	-	Plekho1	498	514	533	503	965	961	693	428	908	439	511	862	1780	485	744	719
9	65552577	65580088	-	Plekho2	233	173	192	198	430	383	413	205	711	183	260	542	1010	265	489	498
9	50488799	50504806	-	Plet1os	97	103	109	68	60	55	84	105	56	81	108	72	36	101	111	70
19	29348677	29361872	-	Plgrkt	107	123	149	108	131	116	127	132	150	163	149	103	212	148	127	163
4	86656565	86670060	-	Plin2	741	808	852	824	842	970	942	909	1071	688	818	1082	1865	1022	918	926
17	56278962	56290512	-	Plin3	2056	2188	2042	2103	2085	1781	1700	1955	1415	1684	1785	1831	1512	2284	1846	1685
17	56100589	56109783	-	Plin4	3669.98	3815.89	2843.02	3996.87	2963.93	3203.06	3204.08	2189.97	2671.97	2116.02	1746.01	3383.97	2686.96	2833.04	2623.05	3008.93
17	56111601	56117549	-	Plin5	1966	2016	1600.02	2043.99	1741.01	1753	1809	1705.99	1148.01	1725	1812	1485	490	2373	1168.99	1341
13	110395044	110400844	+	Plk2	297	299	190	270	464	425	293	336	466	283	288	417	708	374	459	392
4	117128655	117133964	-	Plk3	35	33	15	37	56	72	41	33	126	28	27	94.0001	220	45	83	46
3	40799951	40816884	+	Plk4	33	30	30	26	54	91.9999	35	24	129	27	32	83	257	20	58	83
10	53337686	53346000	+	Pln	101302	95571.5	94806	96030.4	85528.4	82609.7	89502	95972.4	50008.7	101713	94910.8	66253.7	27979.7	79799.7	92015.9	74352.5
4	147909753	147936777	-	Plod1	1185	1212	1152	1246	1544	1673	1405	982	1663	840	904	1705	2348	1227	1257	1441
9	92542223	92608428	+	Plod2	444.799	446.834	407.734	428.96	481.404	575.676	511.764	357.715	901.77	463.763	441.632	735.745	1347.29	506.502	542.964	834.36
5	136987019	136996647	+	Plod3	403.6	381.7	339.808	405.386	689.365	748.965	627.83	248.501	901.448	278.514	254.214	813.244	1964.5	372.124	655.51	813.931
X	136820148	136838583	+	Plp1	93.0001	52	65	98.9999	93	104	132	86.9999	139	60	52	109	186	49	156	222
X	7667941	7671391	-	Plp2	306.188	285.155	420.796	369.074	863.949	958.117	548.567	334.324	974.703	316.393	274.403	797.516	1837.45	361.227	745.087	657.01
8	27042555	27056133	+	Plpbp	947.004	942.006	881.004	914.997	1163	1218.01	1057	833.005	1043	861.994	780.998	1047.99	1385.99	1043	1026	976.998
13	112800777	112867895	+	Plpp1	760	658.999	702	659	951	934	835	671	944	598	655	1037	1053	832	805	874.999
10	79526424	79533788	-	Plpp2	14	26	25	29	35	63	35	38	108	14	14	50	190	41	58	77
4	105157347	105232768	+	Plpp3	1533	1390	1236	1462	1875	1986	2197	1169	2265	1213	1115	2004	2369	1295	1959	2554
8	25720048	25724888	+	Plpp5	131	88	98	97	179	224	148	94.9999	258	103	77	233	492.999	86	187	219
19	28963920	28966802	+	Plpp6	143	172	131	168.387	174.753	199.507	199	171.302	203	183.923	141	203.848	246.971	168.794	207.873	286
2	32095528	32110816	+	Plpp7	467.001	490.999	401.001	452.001	627.997	572.002	542.998	360	511.001	377.999	386.001	563	476.001	526.999	470	393.001
9	21937010	21948908	+	Plppr2	77	81	60	77	66	81.9999	61	51	105	44	34	87	140	71	109	111
10	79860475	79874635	-	Plppr3	17	27	19	35	40	43	49	28	61	12	38	52	117	27	43	54
3	83055538	83072292	+	Plrg1	331	295	314	283	303	314	335	256	364	287	296	343	517	297	318	316
X	75785653	75875183	-	Pls3	930.998	715.998	862.999	790.004	1194.01	1426.01	914.994	686.997	1739.99	674.998	772.001	1316	1973.01	692.999	1025	1619
9	92250194	92272562	+	Plscr1	128	128	150	143	260	279	187	132	275	136	144	235	351	127	222	220
9	92275602	92297753	+	Plscr2	246	222	285	288.999	329	365	298	225	304	241	232	364	390	163	326	280
11	69846372	69852059	+	Plscr3	289.568	248	292.789	343.116	431	442.118	449.143	297.999	648.844	237.774	335	495.323	873.807	317	483.916	543.003
9	92457378	92492517	+	Plscr4	187	196	206	208	175	200	222	184	231	220	183	252	325	170	285	365
2	164839518	164857709	-	Pltp	382.84	386.709	419.501	486.682	386.284	509.751	536.586	370.536	511.164	370.018	363.677	575.616	829.167	504.186	670.306	803.233
8	71497753	71511770	-	Plvap	266	233	177	203	674	755	604	211	1173	155	185	918	3352	255	649	1240
11	97923237	97986447	-	Plxdc1	67	80	65	69	76	69	67	100	64	67	78.9999	80	61	71	110	106
2	16356304	16755840	+	Plxdc2	545	449	427	469	315	333	372	320	518	329	330	490	426	412	499	548
6	89316314	89362614	-	Plxna1	515	591	345	536	819	808	671	436	950	396	358	770	972	537	737	832
1	194619829	194816869	+	Plxna2	718	829	630	838	720	698	601	554	542	532	457	684	619	608	549	638
X	74329066	74344690	+	Plxna3	15	10	11	27	24	35	33	17	90	9	7	44	69	20	50	58
6	32144557	32588193	-	Plxna4	335	322	169	304	488	629	501	212	752	191	217	687	1271	275	560	1078
9	109095436	109119916	+	Plxnb1	887	906	554	869	451	525	628	673	549	595	533	596	477	891	743	870
15	89155546	89180789	-	Plxnb2	1894.98	1894.98	1614.99	1988.01	2872.03	3007.05	2218.01	1398.01	3112.06	1509.02	1271.01	2773.02	3957.03	1782.02	2640.01	2988.04
X	73757103	73772511	+	Plxnb3	39	53	31	54	42	49	56	28	51	23	25	61	77	42	85	111
10	94790866	94944846	-	Plxnc1	76	99	54	80	161	129	113	49	168	39	57	116	373	71	173	225
6	115954811	115995006	-	Plxnd1	1892	1846	1327	1952	1923	1884	1857	1660	2319	1425	1504	2137	3635	2027	1864	1721
1	131797395	131821473	+	Pm20d1	192	193	119	200	146	189	203	162	139	152	130	150	70	198	187	199
4	33170406	33189738	-	Pm20d2	2027	2046	1675	1866	1482	1488	1832	1718	1417	1792	1714	1726	914	1961	1745	1652
2	173224465	173276534	-	Pmepa1	448	437	405	378	808	925	597	364	1227	355	296	1026	1884	428	732	820
3	88394138	88410398	-	Pmf1	104	114	99	142	175	216	173	96	266	84	91	170	247	128	200	208
9	58217180	58249787	-	Pml	160	149	130	156	266	351	292	135	364.001	155	122	373	691	127	341.001	418
15	81951106	81960931	-	Pmm1	215	210	233	186	298	279	274	185	335	199	186	275	447.001	221	242	313
16	8637707	8657609	+	Pmm2	251.999	253	304.999	238	403.999	462	370.999	237	520.999	226	221	393.998	438.998	285.999	334	367.001
11	63128982	63159548	+	Pmp22	850.001	763.998	878.001	682.999	1100	1219.01	1068	617	1547.98	604.999	710.004	1515.01	1445	695.997	1217.99	1467.02
2	26389348	26397122	+	Pmpca	2268.45	2298.08	1987.1	2247.47	2160.16	2051.94	2148.46	1831.93	2050.34	1935.35	1746.92	2144.41	2222.44	2259.23	2109.16	2058.07
5	21737160	21757153	+	Pmpcb	1953	1929	2009	2043	1863	1767	1920	1919	1720	1803	1864	2052	1553	2321	1733	1947
1	53189189	53297029	-	Pms1	52	39	38	42	43	60	50	72	62	71	50	45	70	40	62	75
5	143910001	143931757	+	Pms2	59	46	32	48	70	54	56	41	112	52	46	52	188	59	81	95
3	89454541	89469010	+	Pmvk	122	126	98	117	155	167	173	84	220	102	107	170	216	145	156	208
X	73655992	73660071	-	Pnck	122	105	92	112	57	76	120	78	87	80	86.0001	78	72	96	98.0001	114
4	21848048	21876476	+	Pnisr	823.001	707.996	625	772.996	1000	1056	999.994	728.002	1308.99	712.001	626	1034	1645.99	734.003	1205	1376
1	74285034	74353693	+	Pnkd	990	1084	857	990	1323	1126	1037	820.998	1055	1006	848	1024	1012	1259	971	1093
7	44857146	44862930	+	Pnkp	213	222	218	195	228	237	202	176	227	208	163	217	355	281	254	263
7	16944682	16948829	+	Pnmal2	104	103	80	84	124	97	117	88	104	69	90	143	82	106	121	159
12	59066919	59074018	+	Pnn	741	733	640	703	866	923	752	589	1084	711	554	899	1257	631	1011	1000
11	17203200	17211590	-	Pno1	475	492	478	457	514	495	430	446	492	488	459	463	602	398	488	395
14	50944303	50953413	+	Pnp	283.736	263	284.965	280.602	549.645	679.852	580.339	203	870.753	192.694	215	857.751	1676.17	253.521	646.165	903.812
7	141455188	141460744	+	Pnpla2	4607.02	4744.83	4406.91	5197.23	4174.14	4084.16	3866.96	3977.1	3234.96	4215	3300.11	3984.13	2730.05	5359.04	3297	3968.9
8	3515384	3544268	+	Pnpla6	132	145	78	110	117	137	132	79	183	83	95	151	307	125	153	221
2	24976033	25054073	+	Pnpla7	339	282	261	309	190	209	261	232	272	210	165	257	380	346	301	336
12	44269154	44313436	+	Pnpla8	2326	2220	1897	1916	2066	1911	2077	1993	1895	2266	2262	1796	1981	1788	1958	2211
11	96937816	96944020	-	Pnpo	202	275	186	248	286	272	260	250	317	187	190	323	359	266	284	349
11	29130744	29161765	+	Pnpt1	254	258.999	289	281	278	339	286.999	236	318	275	262.001	275	357	238	294	248
4	33245423	33248788	-	Pnrc1	1208	1251	1195	1245	653	884	1398	1167	922	1024	1031	1153	1180	1282	1017	1111
4	135870926	135873847	-	Pnrc2	1003	768	794	849	868	1036	1097	841	986	1046	998	1096	1463	703	977	1248
9	106281061	106349892	+	Poc1a	37	57	34	44	51	43	47	40	68	39	42	50	103	44	53	56
10	99107082	99198075	+	Poc1b	82	119	65	108	102	86.9999	155	63	132	82	62	122	167	104	110	106
13	96388294	96415588	+	Poc5	134	144	100	101	135	155	115	121	167	109	100	142	223	118	172	138
4	108014793	108032091	-	Podn	152	168	147	259	930.001	1343.99	850.002	137	2427	134	93	1629.98	3060.94	179	1323.02	2792.96
6	31519493	31563938	-	Podxl	2265	2305	1626	2200	2280	2128	2040	2046	2035	1732	2001	2127	2364	2313	2292	1998
6	88842558	88875045	-	Podxl2	206	225	173	195	163	161.931	249	148	202.984	169	175	232	218.001	252.986	223	238.96
2	153241532	153270250	+	Pofut1	374	338	259	327	502	494	459	295	649	276	255	502	813	332	561	656
10	77259300	77269587	+	Pofut2	525	578	493	510	845	903	785	442	1057	478	427	836	1542	607	717	882
1	166393612	166409829	-	Pogk	276	253	219	226	305	337	384	228	362	284	213	302	391.001	240	353.001	363
16	38525058	38550257	-	Poglut1	238	239	210	179	200	251	195	211	347	189	216	319.001	521.998	207	271	303
1	44106546	44118774	-	Poglut2	180	157	157	197	287	275	265	153	322	169	150	287	466	210	266	290
9	53384023	53401868	+	Poglut3	173	205	180	163	336	361	307	171	470	158	194	365	630	206	348	521
3	94837437	94883578	+	Pogz	363	306	232	302.001	298.001	358.001	412.999	249	398	225	220	421.999	571.003	288	487.997	557.999
X	93304766	93632156	-	Pola1	103	77	91	64	80	115	102	103	158	85	118	122	281	105	86	103
19	5940543	5964207	-	Pola2	103	110	81	109	122	150	105	120	204	89	96	177	231	130	123	149
8	22628119	22653438	-	Polb	255	263	228	275	272	254	229	232	210	262	301	242	289	317	225	236
7	44532744	44548816	-	Pold1	148	142	104	136	222	176	170	145	219	102	99	223	374	138	166	211
11	5872180	5878257	-	Pold2	264	242	178	233.999	282.999	251.999	267.001	242	319	225	188	302.001	450.998	307.001	246	308
7	100082110	100121503	-	Pold3	143	148	125	122	179	208	187	155	239.001	120	122	223	435.999	148	194	216
19	4231893	4233635	+	Pold4	132	101	103	101	159	279	143	110	261	95	80	209	550	115	203	186
11	78512296	78522737	+	Poldip2	1441	1631	1395	1533	1631	1514	1545	1223	1475	1343	1207	1615	1245	1687	1302	1385
15	83125968	83149379	-	Poldip3	403.999	334	314.001	330	404.002	505.999	501.997	303	598.998	302	303	483.999	844	353.999	523.998	542.002
5	110286319	110337454	+	Pole	35	39	34	50	56	55	43	16	85	43	24	85	175	50	43	72
4	62523801	62525015	-	Pole3	103	85	90	69	90	90	100	64	112	97	73	115	180	95	135	110
6	82618355	82652875	-	Pole4	324	306	257	284	360	431	336	297	407	336	282	402	594	310	347	399
7	79446231	79466274	-	Polg	880.653	896.644	773.891	899.492	911.146	903.557	938.494	793.64	924.287	703.249	695.879	879.999	1103.78	883.241	874.912	974.946
11	106768204	106779538	-	Polg2	60	46	44	47	31	28	47	62	62	41	56	36	63	58	46	76
17	46171355	46202642	-	Polh	111	110	90.9999	111	210	176	157	116	203	99	111	198	356	121	154	147
18	70508680	70530322	-	Poli	34	22	17	10	29	46	43	21	85	24	21	72	78	22	38	69
13	96480687	96542580	-	Polk	69	54	61	64	91	87	90	79	157	68	79	120	202	77	95	128
19	45552276	45560565	-	Poll	133	165	126	147	174	183	164	151	187	143	144	177	217	195	140	204
11	5827860	5838017	-	Polm	23	39	32	27	53	69	60	26	92	18	38	68	148	45	72	110
16	37011786	37095418	+	Polq	101	155	126	120	83	77	100	162	106	182	173	102	144	222	133	81
6	71909053	71979361	+	Polr1a	701	741	497	652	680	654	688	549	669	570	433	679	667	675	732	665
2	129100996	129126596	+	Polr1b	179	167	160	162	212	245	203	161	226	163	128	234	284	200	201	230
17	46243920	46248046	-	Polr1c	237	170	191	158	210	154	188	158	221	137	207	218	379	233	241	224
5	147077346	147111362	+	Polr1d	615	590	690	615	699	731	676	576	769	642	652	760	1111	744	718	665
4	45018609	45034280	+	Polr1e	190	177	244.001	254	342.999	300	221	197	276.999	315	213	266	351.999	296	299.999	210
11	69733999	69758634	-	Polr2a	686	603	442	621	651	778	821	526	981	491	384	963	1590	595	943	1072
5	77310484	77349329	+	Polr2b	804	748	667	655	738	711	713	646	620	718	657	701	707	715	704	801
8	94857450	94864241	+	Polr2c	282.84	273.252	300.959	342.638	307.156	298.346	260.873	240.04	282.714	254.737	216.837	291.968	294.269	319.78	272.525	293.983
18	31789125	31796712	+	Polr2d	275	204	261.001	232	307	236	281	182	345.999	254	266	316	416	319.001	283	387.001
10	80035953	80039660	-	Polr2e	884	824	986	887	710	683	716	885	743	868	794	803	857	1162	925	745
15	79141325	79151775	+	Polr2f	340	363	341	418	317	319	300	370	429	358	336	349	398	514	350	391
19	8793129	8798558	-	Polr2g	359	346	334	331	356	349	335	327	348	314	353	360	457	383	316	367
16	20717826	20722266	+	Polr2h	86	86	91	70	85	107	91	63	111	96	94	71	163	98	72	100
7	30232074	30233388	+	Polr2i	143	136	169	148	123	170	134	137	153	144	153	104	181	253	137	134
5	136116691	136122948	+	Polr2j	258	245	302	241	266	243	288	261	294	315	310	286	339	363	288	316
15	36174010	36177013	+	Polr2k	62.9641	52.4426	77.8087	56.9977	52.258	49.9001	56.8241	60.9013	60.2254	79.8923	59.771	37.9609	69.9792	14	68.9945	67.8816
7	141471860	141475154	-	Polr2l	765	859	895	815	910	829	805	789	939	879	806	833	991	1123	911	734
9	71478437	71485984	-	Polr2m	4566.98	4463.87	4075.95	4131.91	4746.92	4489.94	4449.9	3755.88	4116.14	4001.92	3765.83	4210.01	4164.09	4428.82	4240.92	4290.11
14	24448694	24487059	-	Polr3a	172	172	121	160	218	267	205	146	231	148	136	204	289	176	207	217
10	84622298	84727179	+	Polr3b	208	201	194	199	250	261	254	207	308	230	160	284	320	233	301	310
3	96711895	96727440	-	Polr3c	190	213	205	170	225	216	190	169	242	213	154	243	297	204	222	284
14	70438748	70443472	-	Polr3d	195	250	172	189	346.001	366	260	165	295	176	172	295	389	232	247	274.999
7	120917744	120947433	+	Polr3e	143	160	141	141	202	201	180	106	219	108	119	185	354.999	166	185	194
2	144527745	144541780	+	Polr3f	209	207	188	195	247	203	212	175	246	195	159	224	294	184	239	232
13	81673837	81711014	-	Polr3g	60	40	47	63	55	53	78	53	69	71	67	36	94	56	81	68
3	96577872	96594182	-	Polr3gl	427	398.001	313	390.999	404	348	444.002	365	368.999	332.001	386	440	415.999	420.999	427.999	495.998
15	81915030	81926214	-	Polr3h	135	128	115	156	133	90	120	112	153	90	91	178	206	110	133	135
2	181864360	181870827	+	Polr3k	323	215	294	249	292	311	255	252	352	272	315	345	494	218	347	372
10	79736125	79746582	-	Polrmt	434	387	297	385	341	399	424	326	371	278	243	416	318	476	321	367
5	135376140	135394547	-	Pom121	305.756	259.243	215.997	342.422	374.993	494.34	363.183	272.167	455.404	171.267	168.593	380.623	675.252	271.799	413.548	481.938
4	116150518	116159845	+	Pomgnt1	907.994	875.008	710.001	818.996	929.003	923.002	848.996	648.998	894.991	624.004	695	873.992	1102	946.01	836.995	867.997
9	121981606	121996027	-	Pomgnt2	236	240	252.001	212	219	225.001	295	188	242	144	156	280	293	238	278	271
8	25980604	25994122	-	Pomk	123	158	123	160	194	185	179	121	238	109	114	233	298	159	213	258
5	147860628	147875785	+	Pomp	972	890	951	866	816	864	842	917	1009	1004	1106	808	1206	1216	906	954
2	32236640	32255007	+	Pomt1	139	160	126	154	178	202	195	140	218	118	95	204	274	155	201	227
12	87106861	87147903	-	Pomt2	204	221.999	172.115	221	267	263	250.14	167	279.494	162.095	141.999	272.999	384.942	202	269	306.999
6	5264620	5298341	-	Pon2	449	417	484	488	745	768	657	404	978	433	445	779	1296	548	646	768
6	5216256	5256234	-	Pon3	683	647.997	579.001	560	812	898.998	764.003	590.003	898.999	575	670	847.994	1271	563	866.003	1049
15	34495311	34530654	+	Pop1	40	56	55	44	76	89	63	44	83	38	42	81.9999	124	63	66	74.9999
7	38262820	38271349	-	Pop4	122	127	138	147	181	183	152	154	218	136	138	163	352	177	156	161
5	115235851	115240971	+	Pop5	162	161	161	190	195	161	191	149	196	193	146	173	202	210	202	193
5	137501439	137502430	-	Pop7	94	85	140	85	131	140	99	106	141	67	61	133	186	83	112	114
16	38362190	38378217	+	Popdc2	6517.86	6917.66	6154.25	7159.2	14469.9	12819.2	7502.29	5877	7583	5911	5262.19	8640.78	8465.51	7498.9	7404.8	6441.8
10	45289305	45318451	+	Popdc3	264	253	254	210	446	315	260	222	267	257	236	311	259	272	211	245
5	135689145	135735327	+	Por	667	612	561	690	800	814	673	478	870	501	430	726	1164	610	810	986
X	8193846	8206526	-	Porcn	37	41	21	48	40	49	29	28	80	34	22	41	78	41	60	82
3	54359267	54391042	+	Postn	691.999	395.001	780.998	375.001	4491.11	4123.93	1390.02	280	5957.06	332	414	5129.88	9791.61	300	2555.99	2262.99
6	25743942	25809219	-	Pot1a	173	174	168	138	160	210	184	184	176	213	216	155	259	179	198	182
17	55651191	55712637	-	Pot1b	45	52	42	64	75	80.9999	74	33	104	49	41	93	246	53	69	121
1	165865154	166002635	-	Pou2f1	334.803	284.256	177.754	226.882	294.712	273.843	292.264	225	329.921	216.963	254	325	387.888	236.773	306.826	422.074
15	100575318	100599985	-	Pou6f1	163	168	170	193	196	257	258	181	320	141	139	269	360	182	250	296
10	61648621	61674166	+	Ppa1	482	509	458	504	739	790	593	518	823	447	425	796	955	643	559	673
3	133310110	133378236	+	Ppa2	882.003	867.993	879.003	895.997	676.999	701.999	899.996	832.005	643.001	888.999	878.997	762.001	543.998	1043	777.001	760
9	20888175	20892180	+	Ppan	105	56	46	76	143	136	120	57	160	49	70	150	332	93	110	123
15	85735564	85806852	+	Ppara	1607	1806	1029	1386	1110.01	1241	1285	890.002	784.999	868.001	717.996	929.999	677.999	984.005	1235.99	994.005
17	28232754	28301470	+	Ppard	378	431	278	399	530	541	601	324	583	306	268	574	585	393	521	506
6	115360951	115490402	+	Pparg	112	114	142	134	113	106	85	97	91	91	103	129	110	125	74	120
5	51454249	51567726	-	Ppargc1a	1411.01	1477.01	1087	1446.99	1666	1619.99	1668.99	960.003	1038.01	1045	991.001	1465.99	1018.01	970.003	1422.99	1354.99
18	61291445	61400413	-	Ppargc1b	897.005	826.995	596.996	829.997	820.997	832	661.998	720.002	846.999	598.998	646.996	862.997	559	775.004	1077	880.003
5	76913249	76951579	-	Ppat	435.299	485.971	438.262	432.309	331	364	338.194	424	421	416.581	418.269	368.258	488	410	424	505
5	90768518	90770063	+	Ppbp	21	33	9	11	23	23	7	22	71	15	22	27	453	16	26	6
9	57385956	57440115	-	Ppcdc	78	79	103	79	96	118	80	72	132	81	93	114	195	90	100	120
4	119418527	119422421	-	Ppcs	175	179	162	200	213	171	205	206	226	185	192	207	170	268	187	207
2	181186822	181188505	+	Ppdpf	207	213	271	237	199	192	214	228	247	196	179	181	263	313	285	284
7	144476755	144553730	-	Ppfia1	398	407	302	352	530.999	660	607	321	581.003	321.001	213	565.999	725	313	465	500
1	134296783	134332929	-	Ppfia4	38	33	39	39	45	37	57	49	112	32	34	56	158	39	59	87
6	146888494	147032026	+	Ppfibp1	942.005	893.998	842	874.002	1458.99	1481.99	1132	748	1661	768.999	789	1543.99	2803.99	743	1252.01	1716.99
7	107595051	107748584	+	Ppfibp2	251	361	224	227	239	279	323	256	371	184	201	391	291	292	342	412
15	93398350	93491913	+	Pphln1	299	280	246	347	416.999	468.998	300	263	443	302	237	429.998	603.999	274	386.999	400.001
11	6415867	6419818	+	Ppia	3245.98	2796.97	3429.06	3149.01	4182.04	4596.06	3600.05	2676.02	6110	3317.95	3370.96	4492.06	10870.2	3461.95	4295.03	4798.96
9	66060169	66066630	+	Ppib	676.089	732.861	794.766	676.135	1337.39	1406.5	1081.11	616.84	1872.59	726.091	755.898	1510.6	3347.57	891.522	1278.29	1610.38
18	53406341	53418008	-	Ppic	248	234	279	211	448	477	391	226	658	270	246	680	1400	314	501	589
3	79591337	79603811	+	Ppid	434.998	451.999	409.001	398.999	576.999	535.996	391.999	389.002	466.001	419.999	386.001	457.999	638.002	351.001	466.002	428
4	123127115	123139952	-	Ppie	163	158	191	200	223	192	210	146	214	192	184	169	293	237	169	200
14	25694170	25700467	+	Ppif	2787	3226	2971	2967	2283	2250	2588	2482	2080	2809	2283	2690	1537	3374	2571	2433
14	25696356	25701283	-	Ppifos	17	24	11	29	36	26	27	34	36	18	22	43	28	24	45	39
2	69723088	69754060	+	Ppig	552	656	515	552	630	746	629	452	717	558	443	653	956	434	684	752
4	119300010	119320524	-	Ppih	11	19	15	19	19.4102	21	22	3	20	12	13	25.4264	39	30.4705	22	34.3729
17	29250835	29263972	-	Ppil1	408	376	341	404	379	376	417	309	411	306	303	395	477	454	519	523
16	17086556	17111253	-	Ppil2	333.001	310	282	297	360	383.958	363	276	448	274	290	458	565	327	343	391
1	58430993	58445487	-	Ppil3	110.687	94.8455	114.799	99.7573	98.7727	90.1535	98.8529	87.0174	84.3664	81.0243	85.1011	100.29	171.974	96.9861	115.312	127.596
10	7792894	7822564	+	Ppil4	317	280	283	309	366	425	330	236	379	328	281	399	467	230	345	369
2	121310561	121351014	-	Ppip5k1	906	1021	760.942	834	1022.84	924.646	1020.92	817	879.811	759.867	775.897	942.473	660.429	924.272	870.778	841.661
1	97706043	97770093	-	Ppip5k2	2112	2183	1524	2357	1874	1925	2071	1786	1354	1910	1638	1646	1116	1349	2001	1983
16	5086291	5132482	-	Ppl	229	176	147	223	191	227	246	107	279	136	125	293	308	116	417	583
12	72761211	72794941	+	Ppm1a	2328	2215	1742	1970	1949	1799	1865	1978	1876	1880	1969	2003	1850	2245	1759	1934
17	84956741	85023993	+	Ppm1b	2244.99	2180.99	1814.01	1851.99	2092.01	1927.01	2005	1920.99	1743	1860	1822	2145.01	1779.01	1959.01	1901.99	1975
11	85311254	85347072	+	Ppm1d	165	109	121	157	145	121	130	99	163	78	140	159	192	112	145	184
11	87226906	87358995	-	Ppm1e	184	203	152	166	542	466	246	101	395	125	108	339	621	111	296	277
16	16896469	16927376	+	Ppm1f	766	794	567	671	839	827	730	621	872	513	568	801	1147	696	706	796
5	31202668	31220546	-	Ppm1g	588	599	609	479	783	784	688	467	879	556	393	813	1138	590	778	777
10	122678762	122945794	+	Ppm1h	114	175	81	173	151	144	207	100	242	150	121	193	336	155	202	238
3	104781056	104786018	+	Ppm1j	217	261	200	265	282	292	290	220	354	250	213	344	441	350	292	284
6	57506502	57535488	-	Ppm1k	2503.98	2489.97	1465	1864.01	2012.03	1844.98	2158.03	2118.03	1520.99	2174.98	2094	1836.01	1268	1621.99	2223.05	2194.96
3	69316918	69555397	+	Ppm1l	328	322	253	318	394	334	286	234	211	226	231	260	164	317	289	325
9	106194953	106199234	-	Ppm1m	109	71	71	110	152	163	142	84	286	63	76	183	404.001	101	159	281
7	100326737	100371897	-	Ppme1	494	504	437	491	857	912	638	406	617	422	366	693	943	561	527	585
1	171276992	171281187	-	Ppox	138	165	180	169	150	200	191	102	252	122	122	192	316	181	182	268
19	4192174	4195420	+	Ppp1ca	2692.85	2538.63	2652.74	2736.74	3104.82	2781.7	2826.48	2273.84	3155.51	2536.69	2295.64	3267.88	3957.86	3284.59	3206.76	3266.74
5	32458970	32493713	+	Ppp1cb	7124	6559	5891	6002	8017	7736	6568	6016	6541	6468	6864	6686	7310	3548	6319	6628
5	122158275	122175274	+	Ppp1cc	991.3	936.479	966.419	1074.08	1324.52	1425.83	1147.36	889.188	1622.5	883.508	942.22	1492.35	2045.13	1098.88	1261.05	1297.96
5	122158341	122175270	+	Ppp1ccb	825.705	805.524	684.586	662.929	1023.47	1021.16	867.631	658.809	946.509	611.488	674.778	999.638	1410.89	812.129	854.943	966.045
17	35917196	35932284	+	Ppp1r10	551.002	641.001	580.001	496.998	437.956	458.951	545.997	322	531.996	403	346.999	348.001	663	605.999	427	506.97
17	36948355	36951793	-	Ppp1r11	624	676	639	565	667	634	643	580	627	587	722	539	856	769	612	525
